ID,ProjectID,Visible By,Contract,Title,Client Ministry,Impact On,RAID Tracking ID,Status,Owner,Category,Description,Probability number,Probability,Impact,Impact On.1,Mitigation Plan,Assigned To,Raised By,Created,Created By,Modified,Modified By,ProjectName,Stream,Zone,Escalation Level,owning team,committee Assigned
14,EP100046,GMCB,LMRN,Variation in Site Access Procedures between Sites for IO Owned / Leased Sites could cause additional access delays for Bell or subcontractors.,GMCB,Site Visits,R-12,Monitoring,"Zaniewski, Martin (SOLGEN)",Approvals and Agreements,IF there are variations in Site Access Procedures between Sites for IO Owned / Leased Sites THEN there would be additional access delays for Bell or subcontractors.,0.7,Medium=2,Medium=2,Site Visits,IO may have multiple unique site access procedures for its offices across the province all varying from location to location. Engage IO to determine if any efficiencies can be found otherwise early identification of sites with enhanced access procedures needs to be identified  Engaged IO contact to determine if there are workarounds that can be implemented or methods to minimize this for site visits.,"Zaniewski, Martin (SOLGEN)",,9/23/2020 9:54,"Maksimenko, Alexander (SOLGEN)",10/27/2021 16:03,"Szotek, Lucas (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
15,EP100046,GMCB,LMRN,Advanced Deployment strategy quality for Ministry Sites may impact planning with Ministry Partners.,GMCB,Planning,R-5,Closed,"Persaud, Shiri (TBS)",Approvals and Agreements,IF there is a lack of strategy clarity from BMR on advanced deployment for Ministry Sites THEN planning with Ministry Partners would be impacted.,0.8,High=3,Medium=2,Planning,Continually request documented approach from Bell which can be shared with Ministry Partners and requested commitment to approach.,"Zaniewski, Martin (SOLGEN)",,9/23/2020 10:01,"Maksimenko, Alexander (SOLGEN)",1/8/2021 8:09,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 1,AD/SS,Delivery Team- Deployment
16,EP100046,GMCB,LMRN,Delays in remediation activities at Ministry Partner Sites can impact Advanced Deployment planning and schedule.,GMCB,Site Remediation,R-2,Open,"Eckert, Tejal (SOLGEN)",Ministry Partner,IF there are delays remediation activities at Ministry Partner Sites THEN Advanced Deployment schedule would be impacted.,0.3,Low=1,Medium=2,Site Remediation,Commencement of site visits early on prior to field pilot or deployment to allow sufficient time for remediation activities.,"Maksimenko, Alexander (SOLGEN)",,9/23/2020 10:08,"Maksimenko, Alexander (SOLGEN)",9/28/2022 9:23,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 1,AD/SS,Delivery Team- Deployment
17,EP100046,GMCB,LMRN,GMCB MOH Hospital Package larger than GMCP footprint,GMCB,Site Design,PWA,Open,"Owen, David (SOLGEN)",Planning,IF MOH Hospital Package is significantly larger than today's solution THEN it may not be possible to install the new solution in the space limited locations these packages are deployed now.,0.75,Medium=2,Medium=2,Site Design,03-Mar-2022-MS- Space in LMRN cabinet is sufficient for both legacy and new equipment. Item can be closed.  Engage Bell to understand if the consolette is mandatory to connect the required accessories (Dsek Set). Senior leadership engagement may be required to encourage possible development by Motorola.,"Sheikh, Mohamed (SOLGEN)",GMCB,9/23/2020 10:14,"Maksimenko, Alexander (SOLGEN)",9/23/2022 14:44,"Calabrese, Tania (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
18,EP100046,GMCB,LMRN,Lack of alignment on Parks solution approach,GMCB,Site Design,R-11,Closed,"Farah, Aziz (SOLGEN)",Requirements,IF proposed Parks Design Changes may not be reviewed in time by MECP-Parks THEN UE Packages selection and Fleetmapping finalization would be impacted.,0.85,High=3,Medium=2,Site Design,"March 24, 2022:
-ÃÂ Functional validation of Ontario Parks single-site solution conducted at GDC (06/17/2021).
-ÃÂ Acceptance provided by LRC/MECP on single-site solution (08/10/2021) and conditional acceptance on multi-site solution (2/11/2022)
-ÃÂ Updated design requirements communicated to BMR (RFC-00087), final detailed solution design expected based on revised contract (timeline TBD)
Jan 08: LRC and GMCB collaborating to align on solution for single and multi-site Parks. Test of proposed single-site solution planned for January and GMCB reviewing solution approach for 21 multi-site parks with LRC. Once solution alignment is achieved with LRC and MECP, GMCB will engage BMR to update overall design and commence site specific designs.","Farah, Aziz (SOLGEN)",,9/23/2020 10:24,"Maksimenko, Alexander (SOLGEN)",3/24/2022 11:46,"Farah, Aziz (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
19,EP100046,GMCB,LMRN,Security clearances for Bell subcontractors may not be in place prior to commencement of site visits,GMCB,Site Visits,R-18,Closed,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,IF security clearances for BMR subcontractors prior to commencement of site visits is not in place THEN Advanced Deployment planning would be impacted.,0.9,High=3,Low=1,Site Visits,Work with BMR to ensure subcontractor resources are aware of the the necessary process and progress through the required security clearance steps prior to any schedule site visit date.,"Persaud, Shiri (TBS)",Martin Zaniewski (GMCB - MSRD Stream Lead),9/23/2020 10:35,"Maksimenko, Alexander (SOLGEN)",1/8/2021 10:24,"Persaud, Shiri (TBS)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
20,EP100046,GMCB,LMRN,BMR MSRD stream has only one PM who is managing our stream and does not have sufficient resources to accommodate timely completion of deliverables.,GMCB,Planning,R-10,Closed,"Zaniewski, Martin (SOLGEN)",Project Management,IF BMR MSRD stream is lacking resources to accommodate PSRN needs in a timely manner THEN it would impact stream deliverables.,0.95,High=3,Medium=2,Planning,,"Maksimenko, Alexander (SOLGEN)",,9/23/2020 10:48,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:23,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
21,EP100046,GMCB,LMRN,Lack of the Detailed Integrated Project Plan will impact GMCB ability to manage expectations with Ministry Partners.,GMCB,Ministry Partners,R-8,Closed,"Zaniewski, Martin (SOLGEN)",Project Management,IF BMR is not able to provide D-IPP THEN GMCB cannot manage the specific impacts to Ministry Partners.,0.95,High=3,Low=1,Ministry Partners,,"Martin, Liza (SOLGEN)",,9/23/2020 11:03,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:19,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
22,EP100046,GMCB,LMRN,IF deployment discussions with BMR would continue to slow down due to BMR's resourcing constrain THEN start of deployments could be delayed.,GMCB,Planning,R-7,Closed,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,"Deployment discussions are getting slowed down due to BMR's limited resourcing, even though the deployments are close. Risk was raised with PMO for further escalation.",0.85,High=3,Medium=2,Planning,,"Devitt, Jessica (SOLGEN)",,9/23/2020 11:09,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:23,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
23,EP100046,GMCB,LMRN,BMR needs to prepare Site Visit templates and Schedule Site Visits. ,GMCB,Site Remediation,R-6,Closed,"Zaniewski, Martin (SOLGEN)",Scope,IF sites deficiencies remediation delayed THEN Advanced Deployment planning would be impacted.,0.35,Low=1,Medium=2,Site Remediation,,"Asif, Adeel (TBS)",,9/23/2020 11:15,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:25,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
24,EP100046,GMCB,LMRN,Bell needs to start working on training schedules and materials to train the trainers as we cannot deploy EU hardware without proper training.,GMCB,Ministry Partners,R-4,Closed,"Zaniewski, Martin (SOLGEN)",Planning,IF BMR will fall behind in developing the training schedules and materials THEN Ministry Partners would require to prepare for end user training internally.,0.6,Medium=2,Low=1,Ministry Partners,,"Nyman, Ed (SOLGEN)",,9/23/2020 11:22,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:26,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
25,EP100046,GMCB,LMRN,"BMR has to provide process documents, RACI, and expectations for various site types to avoid Advanced Deployment delay.",GMCB,Site Visits,R-3,Closed,"Zaniewski, Martin (SOLGEN)",Planning,IF BMR process documentation for various site types received late THEN Advanced Deployment start date would be impacted.,0.75,Medium=2,Low=1,Site Visits,,"Szotek, Lucas (SOLGEN)",,9/23/2020 11:32,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:26,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
26,EP100046,GMCB,LMRN,Misalignment between BMR and our own timeline requirements could lead to an unrealistic IPMP schedule. ,GMCB,Planning,R-1,Closed,"Zaniewski, Martin (SOLGEN)",Project Management,IF there is a misalignment between BMR and GMCB timeline requirements resulted in unrealistic IPMP schedule THEN team's ability to deliver to Ministry Partners expectations would be impacted.,0.75,Medium=2,Low=1,Planning,,"Devitt, Jessica (SOLGEN)",,9/23/2020 11:39,"Maksimenko, Alexander (SOLGEN)",10/14/2020 9:24,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
27,EP100046,GMCB,LMRN,Risk of Ministry Additional Resource Impacts and Delays for Ministry Vehicles to Return to Service After AD Installation,GMCB,UE Installation,R-31,Monitoring,"Calabrese, Tania (SOLGEN)",Planning,If Bell mobility continues to program new radio packages with new GMCP Radio Identifiers (LIDS) versus reusing the LID of the existing radio being replaced it would pressure Ministries to have to make Console Alias Management Updates (CAM) live with AD deployment in order to allow vehicles to go back in service.,0.8,High=3,Low=1,UE Installation,,"Maksimenko, Alexander (SOLGEN)",,9/30/2020 8:14,"Maksimenko, Alexander (SOLGEN)",7/13/2022 13:56,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
28,EP100046,GMCB,LMRN,Risk of Advance Deployment start date delay due to the lead time for suppliers to provide UE equipment.,GMCB,Scheduling,PWA,Closed,"Zaniewski, Martin (SOLGEN)",Planning,Equipment procurement lead time is between ~50 business days (2.5 months) for Subscriber Units and 65 business days for DVRs (3 months & 1 week).,0.8,High=3,Low=1,Scheduling,,"Persaud, Shiri (TBS)",R-32,9/30/2020 8:32,"Maksimenko, Alexander (SOLGEN)",3/3/2021 18:59,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
29,EP100046,GMCB,LMRN,MOH Dispatch Centers fibre build timelines,GMCB,Site Visits,PWA,Closed,"Zaniewski, Martin (SOLGEN)",Approvals and Agreements,IF fibre build permits take about 6+ months to close out THEN the delay of site visits could impact the LMRN SWZ transition timelines.,0.75,Medium=2,Low=1,Site Visits,Actively work with MOH/BMR for scheduling and execution of MOH CACC site visits,"Enumah, Henry (SOLGEN)",GMCB,10/7/2020 10:23,"Maksimenko, Alexander (SOLGEN)",1/20/2022 9:03,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
30,EP100046,GMCB,LMRN,Risk of losing BMR Mobie resources due to EMS base site visits delay.,GMCB,Scheduling,PWA,Closed,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,"IF BMR contractor Mobia releases resources that received security clearances to other projects, THEN EMS base site visit schedule could not negatively impacted.",0.9,High=3,Low=1,Scheduling,BMR raised this risk on Aug.27. Mobia doesn't have any other work assigned with other MPs .,"Sheikh, Mohamed (SOLGEN)",GMCB,10/14/2020 11:04,"Maksimenko, Alexander (SOLGEN)",1/20/2022 9:04,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
31,EP100046,GMCB,LMRN,Possible resources constraint driven by BMR contractor Violin has been assigned to multiple ministries.,GMCB,Scheduling,? MOH-H-R23,Closed,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,"Closed - Duplicate of item Risk #32  IF more than one ministry would give a go ahead to start doing site visits, THEN Violin wouldn't have enough resources and GMCB would have to priorotise what MP should be served first.",0.8,High=3,Low=1,Scheduling,GMCB to discuss and agree internally what MP has a priority as well as how this info should be relayed to other MP(s).,"Sheikh, Mohamed (SOLGEN)",GMCB,10/14/2020 11:11,"Maksimenko, Alexander (SOLGEN)",1/26/2021 10:20,"Westby, Wayne (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
32,EP100046,GMCB,LMRN,Possible resources constraint driven by BMR contractor Violin has been assigned to multiple ministries.,GMCB,Site Visits,? MOH-H-R23,Open,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,"IF more than one ministry would give a go ahead to start doing site visits, THEN Violin wouldn't have enough resources and GMCB would have to priorities what MP should be served first.",0.8,High=3,Medium=2,Site Visits,GMCB to discuss and agree internally what MP has a priority as well as how this info should be relayed to other MP(s).,"Sheikh, Mohamed (SOLGEN)",,10/14/2020 11:11,"Maksimenko, Alexander (SOLGEN)",1/9/2021 21:15,"Westby, Wayne (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
33,EP100046,GMCB,LMRN,Risk to MOH Advanced Deployment schedule status due to the status of Train-the-trainer sessions readiness,GMCB,Planning,MOH-U-R26,Closed,"Westby, Wayne (SOLGEN)",Schedule,"IF the train-the-trainer schedule is delayed by Fleetmapping activity as well as overall AD planning with MOH, THEN the AD schedule could be impacted.",1,High=3,Low=1,Planning,"Aug 26: BMR & GMCB continue to meet to see if the MOH's preference of training on 9/20 can be met. Significant challenges associated with meeting that date. 19-Aug-2021: Joint review with BMR/MOH/GMCB today to review schedule. BMR to provide feedback by end of week as to viability of Sept 20 start date  28-May-2021: Joint TtT schedule review planned for early June with GMCB/BMR/MOH. Plan is to Complete Supplier Training Material Package for a Standard Ambulance (MOH1) in June  14-May-2021: Meetings with MOH and BMR May 12 and May 14 to review plan. Additional detail to be provided by MOH by the 17th, with BMR providing feedback as early as May 19  24-Feb-2021:- MoH TtT still pending but we now have a plan for updating materials with Bell:     - GMCB and MOH provided detailed information on all outstanding items      - BMR has indicated they require 2-3 weeks to make updates      - training material to be updated to get material to ~90% completion and accuracy level in order to pilot training (target mid-March) - Dependency on comm centres and user equipment interaction, leading to console training being a dependency along with UE training  - some TtT of subscriber units can be conducted but integrating consoles will require more time as console scope is in early stages of definition - RFS approval required to support training resource requirements.   20-Jan-2021: MOH has provided feedback indicating the 'most likely' outcome for each item and this has been provided to Bell. The impact of the MOH desire to combine console and UE training has not been resolved (console fleetmapping and material development is not going to be done soon - GDC lab is not available currently for Bell to use to develop material in any case) 13-Jan-2021: MOH to review open fleetmapping items next week, and further direction is expected, however decisions are still pending consultation and additional feedback. Further updates not yet done based on MOH feedback, and will plan a response to MOH by end of day regarding current status.  Meeting on Jan 12 with GMCB and BMR to review outstanding training material items. Henry to review with MOH on Jan 12.","Nyman, Ed (SOLGEN)",GMCB,10/28/2020 10:38,"Maksimenko, Alexander (SOLGEN)",9/7/2021 11:13,"Westby, Wayne (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
34,EP100046,GMCB,LMRN,"Missing agreement between MOH, BMR, and GMCB on equipment cabinet for BAS packages",GMCB,UE Order,MOH-H-R25,Closed,"Zaniewski, Martin (SOLGEN)",Approvals and Agreements,"IF agreeement between MOH, BMR, and GMCB regarding the equipment cabinet considerations for type and model for BAS packages, as well as mounting location (thin sheet wall vs stud), cabinet weight capacity, total equipment weight of package, etc. is not in place, THEN AD timelines could be impacted.",0.8,High=3,Low=1,UE Order,1. Address cabinet weight issues in advance to prevent schedule and install delays due to inability to mount based on incorrect design.  2. Several different cabinet model types should be considered.,"Enumah, Henry (SOLGEN)",GMCB,10/28/2020 11:02,"Maksimenko, Alexander (SOLGEN)",1/20/2022 9:05,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
36,EP100046,GMCB,LMRN,"OPP will not be able to expand the Crisis Call Diversion Program without additional consoles in PCCO, PCCNB or PCCSF.",GMCB,UE Order,OPP-R17,Open,"Persaud, Shiri (TBS)",Approvals and Agreements,"If OPP's new Crisis Call Diversion Program expands to PCCO, PCCNB and/or PCCSF, then additional funding will be required for new consoles.",0.6,Medium=2,High=3,UE Order,Follow up weekly with OPP to determine  if they plan to expand the Crisis Call Diversion Program.,"Mbolekwa, Piko (SOLGEN)",,11/4/2020 8:54,"Maksimenko, Alexander (SOLGEN)",1/21/2022 10:51,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
37,EP100046,GMCB,LMRN,Risk to site visits schedule for Wallaceburg and Niagara due to resources security challenges at BMR.,GMCB,Site Visits,MOH-A-R27,Closed,"Westby, Wayne (SOLGEN)",Human Resources,"If BMR is unable to present an acceptable approach for addressing resource challenges, then site visit schedule is may be delayed/impacted for Wallaceburg and Niagara.",0.8,High=3,Medium=2,Site Visits,"1. Request from BMR to acquire security cleared resources that have ambulance experience  2. Use Wallaceburg sites with existing base designs as a QA/training opportunity for new resources   3. Send BMR resources to do site visits ""","Sheikh, Mohamed (SOLGEN)",,11/18/2020 11:07,"Maksimenko, Alexander (SOLGEN)",1/8/2021 14:00,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
38,EP100046,GMCB,LMRN,Risk of MOH UE Order delay due to MOH request for smaller batteries.,GMCB,UE Order,MOH-H-R28,Closed,"Westby, Wayne (SOLGEN)",Contracts,"IF we don't order the batteries with the rest of MOH-09 and MOH-12 packages, THEN there is a risk of deployments delay due to a shortage of batteries.",0.25,Low=1,High=3,UE Order,Alternate suppliers should be contacted to check the product availability and lead time.,"Enumah, Henry (SOLGEN)",GMCB,11/18/2020 11:24,"Maksimenko, Alexander (SOLGEN)",5/28/2021 10:35,"Westby, Wayne (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
